1,61,
2,59,
3,58,
4,57,
5,57,
6,59,
7,62,
8,59,
9,60,
10,61,
11,60,
12,59,
13,61,
14,59,
15,60,
16,60,
17,62,
18,60,
19,63,
20,61,
21,63,
22,62,
23,61,
24,62,
25,60,
26,60,
27,63,
28,61,
29,62,
30,59,
31,60,
32,59,
33,58,
34,57,
1,61,
2,60,
3,61,
4,59,
5,59,
6,60,
7,61,
8,59,
9,59,
10,60,
11,60,
12,57,
13,57,
14,59,
15,61,
16,61,
17,59,
18,60,
19,58,
20,62,
21,61,
22,60,
23,61,
24,62,
25,61,
26,62,
27,62,
28,62,
29,58,
30,61,
31,58,
32,57,
33,59,
1,59,
2,60,
3,60,
4,60,
5,57,
6,57,
7,58,
8,59,
9,60,
10,60,
11,59,
12,59,
13,59,
14,59,
15,62,
16,61,
17,62,
18,60,
19,63,
20,60,
21,61,
22,62,
23,62,
24,62,
25,63,
26,61,
27,63,
28,61,
29,61,
30,57,
31,60,
32,59,
33,59,
34,62,
1,63,
2,59,
3,58,
4,60,
5,57,
6,60,
7,61,
8,61,
9,62,
10,59,
11,58,
12,60,
13,62,
14,58,
15,58,
16,61,
17,61,
18,60,
19,61,
20,61,
21,62,
22,61,
23,62,
24,62,
25,60,
26,63,
27,62,
28,60,
29,59,
30,60,
31,60,
32,63,
33,59,
34,59,
1,59,
2,62,
3,59,
4,60,
5,61,
6,59,
7,61,
8,60,
9,62,
10,59,
11,59,
12,56,
13,56,
14,61,
15,61,
16,58,
17,58,
18,61,
19,59,
20,60,
21,62,
22,60,
23,58,
24,61,
25,55,
26,61,
27,59,
28,60,
29,57,
30,59,
31,54,
32,58,
33,53,
34,59,
35,61,
1,60,
2,61,
3,56,
4,62,
5,59,
6,61,
7,53,
8,60,
9,62,
10,58,
11,59,
12,59,
13,56,
14,38,
15,56,
16,60,
17,61,
18,60,
19,59,
20,60,
21,61,
22,60,
23,59,
24,56,
25,61,
26,63,
27,59,
28,59,
29,60,
30,60,
31,60,
32,63,
33,59,
34,58,
35,60,
1,60,
2,62,
3,59,
4,60,
5,61,
6,59,
7,59,
8,55,
9,61,
10,61,
11,58,
12,56,
13,59,
14,58,
15,57,
16,59,
17,61,
18,60,
19,59,
20,58,
21,59,
22,60,
